2022-06-23 07:22:27 status unpacked libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 configure libctf0:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 status installed libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 configure libgcc-10-dev:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
